City,Place
manali,1. capture the sceneries of old manali
manali,2. engage in the adventures of solang valley
manali,3. jogini waterfall
manali,4. hadimba temple
manali,5. rohtang pass
manali,6. parvati valley
manali,7. sethan valley
manali,8. gulp some maggi by the jana waterfall
manali,9. arjun gufa
manali,10. peek into the history of manu temple
manali,11. bathe in the hot springs of manikaran
manali,12. paraglide in the skies
manali,13. atal tunnel
manali,14. sissu
manali,15. take a dip in the vashisht baths
manali,16. tour in the museum of himachal culture & folk art
manali,17. picnic in van vihar
manali,18. rafting
manali,19. naggar
manali,20. bhrigu lake
manali,21. kullu
manali,22. adventure activities
manali,23. ski in the chilling snow
manali,24. trek to cafes in malana
manali,25. himalaya nyingmapa buddhist temple
manali,26. hike through the kothi village
manali,27. trek through the great himalayan national park
manali,28. dwell the landscape of gulaba
manali,29. rahala falls
manali,30. trek to the beas kund
manali,31. trek the hampta pass
manali,32. chill at the club house
manali,33. explore the wildlife at manali sanctuary
manali,34. pray at the jagatsukh temple
manali,35. click pictures at nehru kund
manali,36. chandrakhani pass and the parvati valley
manali,37. bara bhangal kalihani trek
manali,38. hampta valley
manali,39. deo tibba base camp trek
manali,40. gayatri temple
manali,41. gadhan thekchhokling gompa monastery
manali,42. pray at siyali mahadev temple
manali,43. keylong
manali,44. trek to the chandratal baralacha lake
manali,45. marvel at the gauri shankar temple
manali,46. rozy waterfalls
manali,47. zorbing in manali
manali,48. winter carnival manali
manali,49. roerich art gallery and estate
manali,50. bhunter
leh ladakh,1. pangong lake
leh ladakh,2. khardung la pass
leh ladakh,3. nubra valley
leh ladakh,4. sangam
leh ladakh,5. shanti stupa
leh ladakh,6. tso moriri lake
leh ladakh,7. magnetic hill
leh ladakh,8. hall of fame museum
leh ladakh,9. thiksey monastery
leh ladakh,10. zanskar valley
leh ladakh,11. shey monastery and palace
leh ladakh,12. stok palace
leh ladakh,13. hemis monastery
leh ladakh,14. white water rafting
leh ladakh,15. pathar sahib gurudwara
leh ladakh,16. kargil
leh ladakh,17. likir monastery
leh ladakh,18. alchi
leh ladakh,19. spituk monastery
leh ladakh," 20. diskit monastery, lachung temple and hundur monastery. "
leh ladakh," 21. bactarian camel safari, nubra valley "
leh ladakh,22. leh palace
leh ladakh,23. tso kar lake
leh ladakh," 24. hemis high altitude wildlife sanctuary, hemis "
leh ladakh,25. chadar trek
leh ladakh,26. hunder village
leh ladakh,27. taglang la
leh ladakh,28. turtuk
leh ladakh,29. hundur monastery
leh ladakh," 30. phuktal monastery, zanskar "
leh ladakh,31. lamayuru town
leh ladakh,32. stargazing
leh ladakh,33. chang la pass
leh ladakh,34. chemrey monastery
leh ladakh,35. namgyal tsemo gompa
leh ladakh,36. ladakh trekking
leh ladakh,37. sankar gompa
leh ladakh,38. lachung temple
leh ladakh,39. druk white lotus school
leh ladakh,40. city shopping
leh ladakh,41. dah hanu
leh ladakh,42. sindhu darshan festival
leh ladakh,43. changtang wildlife sanctuary
leh ladakh,44. nyoma
leh ladakh,45. mountain biking
leh ladakh," 46. panamik village, nubra valley "
leh ladakh," 47. yarab tso, sumur "
leh ladakh," 48. moonland, lamayuru "
leh ladakh,49. darcha to padum trek
leh ladakh," 50. maitreya buddha, nubra valley "
leh ladakh,51. shyok valley
leh ladakh,52. handicrafts industrial cooperative shop
coorg,1. abbey falls
coorg,2. raja's seat
coorg,3. coffee plantations in coorg
coorg,4. golden temple (namdroling monastery)
coorg,5. trek & camp at tadiandamol peak
coorg,6. take a dip under the iruppu falls
coorg,7. talacauvery
coorg,8. take a walk in madikeri fort
